WKT,id,DESC,Focus Area,Basements,Hist_Flood,Vul_Recep,Opp,Crit_Infra,Catch_Area,WCC_Scheme,%TreeCover,%FloodCov,Avg_Temp,PopDense,OSDef,AirQual,Programme,Westforms,WSP Ref,WCC No.,Project,Postcode,PM,PM Full,Stage,Expected C,Planned Co,Expected T,Cost Inclu,Expected S,Programm_1,SuDS Catch,Feasibilit,Masterplan,Monthly up,Date of la,Project De,SuDS Engin,Author (IN,Checker (I,Date Repor,Date share,Comments R,Comments i,SuDS Optio,SuDS Opt_1,Report Det,SuDS taken,Reason why,Number and,Lat,Long
"MULTIPOLYGON (((525848.103 180584.097999999,526157.081420797 180627.001959018,526632.401196018 180745.189578803,527328.680434316 180896.778047658,527842.539650771 180999.549890949,527904.202756746 180876.223678999,527968.435158803 180639.84843943,528191.963917961 180390.626719449,528394.938308461 180141.404999468,528442.828062324 179876.937345612,527919.61853324 179802.257916607,526399.4004 179627.701400001,526307.798 179621.003,526128.297 179657.3124,525848.103 180584.097999999)))","1",HYDE PARK,"1","0","0","1","22","1","2435366","1",0.5,0.1,31.290520,0.0016770000,10.103278,6.279628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOLYGON (((528725.092855034 179330.792085509,528597.912698961 179519.635347557,528385.945772173 179738.02551455,528351.947727903 179763.765608409,528344.837034857 179862.957536551,528442.828062324 179876.937345612,528510.877794174 179889.292821394,529023.452362588 180297.489736466,529239.2732335 179906.314407939,529295.155423289 179810.929290885,529837.27689665 180197.608351267,529914.355779118 180123.098764881,529942.618036023 180028.034809837,529936.194795818 179941.963391081,529911.786483036 179890.577469435,529901.509298707 179704.30350347,529149.990194641 179552.715034616,529000.971021869 179462.789671736,528950.872340831 179328.075574204,528843.387528822 179336.037731677,528725.092855034 179330.792085509)))","2",GREEN PARK AND ST JAMES,"1","1","0","0","9","1","757635","0",1.8,0.9,32.562900,0.0023170000,0.209094,2.848547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOLYGON (((523890.404 182377.204,523886.564140922 182376.692591049,523858.462465022 182462.6034288,523863.41371268 182494.719629828,523849.898144748 182507.164657727,523844.010174559 182622.649163925,523844.813079585 182650.349387312,523856.053749945 182714.581789369,523874.922018049 182717.391956959,523897.001906256 182733.450057473,523905.432409026 182754.727040655,523907.841124103 182778.814191426,523887.367045947 182876.36715205,523890.177213537 182891.220895026,523962.037213339 182921.32983349,524040.721905858 182941.803911645,524143.895201662 182952.643129493,524303.004214258 183023.700224268,524415.410917857 183065.986555622,524571.709762863 183086.326816274,524764.942239051 183073.480335862,524832.4019 183049.402000001,524874.501 182977.9022,524973.34778488 182912.55351934,524991.554283607 182904.602877776,525005.620803296 182879.29255138,525055.683070027 182848.399293654,525100.816798581 182785.943080837,525106.462224543 182754.011140239,525115.0011 182537.8981,525200.9971 182512.595799999,525314.019838428 182463.271703195,525115.547831951 181812.283521948,524875.4 181867.800000001,524862.702 181957.704,524728.003 182018.397,524668.9528 182078.1998,524563.680712605 182273.786930253,524516.576951097 182313.396911522,524256.435722766 182379.770393647,524072.30283687 182395.828494162,523980.236393922 182391.546334024,523890.404 182377.204)))","3",WEST KILBURN,"3","529","28","22","31","20","1071863","3",5.0,6.4,34.311660,0.0242670000,176.351145,9.060409,Developer Funded,WA1910AM2,"70072332",C.WD13278,Harrow Road - Elgin Estate,W9 3QT,MC,Megan Crawford,On Hold,26-05-2025,Same as main scheme,tbc,No,tbc,2024/25,"3",Average,"12","Scheme still on hold; Developer project so 
dependant on wish of the developer on how suds is tackled they may wish to do all in house",24-01-2025,,"01.12.2023- PM states scheme is on hold. 
30.01.2024-PM contacted by IG to check if scheme is still on hold.
31.01.2024 - PM states scheme still on hold
15.04.2024- PM recontacted
21.05.2024-PM recontacted
12.06.2024-PM recontacted-  & replied still on h",IG,,,,,,Scheme is on hold,Scheme on hold,Scheme on hold,Scheme on hold,Scheme on hold,Scheme on hold,51.524818000000003,-0.198468000000000
"MULTIPOLYGON (((523890.404 182377.204,523886.564140922 182376.692591049,523858.462465022 182462.6034288,523863.41371268 182494.719629828,523849.898144748 182507.164657727,523844.010174559 182622.649163925,523844.813079585 182650.349387312,523856.053749945 182714.581789369,523874.922018049 182717.391956959,523897.001906256 182733.450057473,523905.432409026 182754.727040655,523907.841124103 182778.814191426,523887.367045947 182876.36715205,523890.177213537 182891.220895026,523962.037213339 182921.32983349,524040.721905858 182941.803911645,524143.895201662 182952.643129493,524303.004214258 183023.700224268,524415.410917857 183065.986555622,524571.709762863 183086.326816274,524764.942239051 183073.480335862,524832.4019 183049.402000001,524874.501 182977.9022,524973.34778488 182912.55351934,524991.554283607 182904.602877776,525005.620803296 182879.29255138,525055.683070027 182848.399293654,525100.816798581 182785.943080837,525106.462224543 182754.011140239,525115.0011 182537.8981,525200.9971 182512.595799999,525314.019838428 182463.271703195,525115.547831951 181812.283521948,524875.4 181867.800000001,524862.702 181957.704,524728.003 182018.397,524668.9528 182078.1998,524563.680712605 182273.786930253,524516.576951097 182313.396911522,524256.435722766 182379.770393647,524072.30283687 182395.828494162,523980.236393922 182391.546334024,523890.404 182377.204)))","3",WEST KILBURN,"3","529","28","22","31","20","1071863","3",5.0,6.4,34.311660,0.0242670000,176.351145,9.060409,Major Projects,WA2307ECY,"70114231",C.WG13237.01,Harrow Road Open Space - Phase 1,W10 4NE,AS,Andreas Sigalas,"5",On site,In Progress,"£2,25,487.00",N/A,TBC,24/25,"3",Good,"12",Raingardens have now been installed,23-01-2025,,"No optioneering report needed. 
Design done by LDA (external contractor) and it includes SuDS - very high level. SuDS Team to review and scrutinise, specify surveys, liaise with LP design team, apply standard details and help get them built. Tom O - cont",,,,,,,No optioneering report needed - SuDS designed by LDA,No,SuDS proposal done by external consultant,Yes,N/A,1 x Raingarden with a tree - ongoing construction,51.527023000000000,-0.210938000000000
"MULTIPOLYGON (((523890.404 182377.204,523886.564140922 182376.692591049,523858.462465022 182462.6034288,523863.41371268 182494.719629828,523849.898144748 182507.164657727,523844.010174559 182622.649163925,523844.813079585 182650.349387312,523856.053749945 182714.581789369,523874.922018049 182717.391956959,523897.001906256 182733.450057473,523905.432409026 182754.727040655,523907.841124103 182778.814191426,523887.367045947 182876.36715205,523890.177213537 182891.220895026,523962.037213339 182921.32983349,524040.721905858 182941.803911645,524143.895201662 182952.643129493,524303.004214258 183023.700224268,524415.410917857 183065.986555622,524571.709762863 183086.326816274,524764.942239051 183073.480335862,524832.4019 183049.402000001,524874.501 182977.9022,524973.34778488 182912.55351934,524991.554283607 182904.602877776,525005.620803296 182879.29255138,525055.683070027 182848.399293654,525100.816798581 182785.943080837,525106.462224543 182754.011140239,525115.0011 182537.8981,525200.9971 182512.595799999,525314.019838428 182463.271703195,525115.547831951 181812.283521948,524875.4 181867.800000001,524862.702 181957.704,524728.003 182018.397,524668.9528 182078.1998,524563.680712605 182273.786930253,524516.576951097 182313.396911522,524256.435722766 182379.770393647,524072.30283687 182395.828494162,523980.236393922 182391.546334024,523890.404 182377.204)))","3",WEST KILBURN,"3","529","28","22","31","20","1071863","3",5.0,6.4,34.311660,0.0242670000,176.351145,9.060409,Sustainable Transport Programme,"	WA2206YTZ","70098984",C.WD13517,LSS - Marban Rd - Portnall Rd Jct - Programme 22,W9 3BN,RW,Rob Webster,Closed,08-01-2024,N/A,tbc,N/A,N/A,,"3",Average,"13",No funds available for SUDS,23-01-2025,,"21.05.2024-PM contacted for updated
24.05.2024-PM replied stated - Scheme is now  complete. Suds proposed were rejected by client due to budget. 
Some addtional fees may be available - for suds but needs to be confirmed - WSP PM to check and get back to",IG,AL,10-08-2023,06-09-2023,,,#REF!,Yes,No fund available/Limited budget,No,No funds available,N/A,51.530119999999997,-0.203507000000000
"MULTIPOLYGON (((523890.404 182377.204,523886.564140922 182376.692591049,523858.462465022 182462.6034288,523863.41371268 182494.719629828,523849.898144748 182507.164657727,523844.010174559 182622.649163925,523844.813079585 182650.349387312,523856.053749945 182714.581789369,523874.922018049 182717.391956959,523897.001906256 182733.450057473,523905.432409026 182754.727040655,523907.841124103 182778.814191426,523887.367045947 182876.36715205,523890.177213537 182891.220895026,523962.037213339 182921.32983349,524040.721905858 182941.803911645,524143.895201662 182952.643129493,524303.004214258 183023.700224268,524415.410917857 183065.986555622,524571.709762863 183086.326816274,524764.942239051 183073.480335862,524832.4019 183049.402000001,524874.501 182977.9022,524973.34778488 182912.55351934,524991.554283607 182904.602877776,525005.620803296 182879.29255138,525055.683070027 182848.399293654,525100.816798581 182785.943080837,525106.462224543 182754.011140239,525115.0011 182537.8981,525200.9971 182512.595799999,525314.019838428 182463.271703195,525115.547831951 181812.283521948,524875.4 181867.800000001,524862.702 181957.704,524728.003 182018.397,524668.9528 182078.1998,524563.680712605 182273.786930253,524516.576951097 182313.396911522,524256.435722766 182379.770393647,524072.30283687 182395.828494162,523980.236393922 182391.546334024,523890.404 182377.204)))","3",WEST KILBURN,"3","529","28","22","31","20","1071863","3",5.0,6.4,34.311660,0.0242670000,176.351145,9.060409,Developer Funded,"	WA2104G2L","70084962",C.WD13437.01,Queens Park Court,W10 4QA,SC,Shujahat Chohan,"12",31-05-2024,N/A,TBC,No,N/A,,"3",Average,,N/A,,,"05.06.24 - PM contacted. Scheme is too advanced, so there is no option for SuDS.",BT,,,,,,No optioneering needed- design too far progressed,No,Design too far progressed,N/A,N/A,N/A,51.529122000000001,-0.214128000000000
"MULTIPOLYGON (((523890.404 182377.204,523886.564140922 182376.692591049,523858.462465022 182462.6034288,523863.41371268 182494.719629828,523849.898144748 182507.164657727,523844.010174559 182622.649163925,523844.813079585 182650.349387312,523856.053749945 182714.581789369,523874.922018049 182717.391956959,523897.001906256 182733.450057473,523905.432409026 182754.727040655,523907.841124103 182778.814191426,523887.367045947 182876.36715205,523890.177213537 182891.220895026,523962.037213339 182921.32983349,524040.721905858 182941.803911645,524143.895201662 182952.643129493,524303.004214258 183023.700224268,524415.410917857 183065.986555622,524571.709762863 183086.326816274,524764.942239051 183073.480335862,524832.4019 183049.402000001,524874.501 182977.9022,524973.34778488 182912.55351934,524991.554283607 182904.602877776,525005.620803296 182879.29255138,525055.683070027 182848.399293654,525100.816798581 182785.943080837,525106.462224543 182754.011140239,525115.0011 182537.8981,525200.9971 182512.595799999,525314.019838428 182463.271703195,525115.547831951 181812.283521948,524875.4 181867.800000001,524862.702 181957.704,524728.003 182018.397,524668.9528 182078.1998,524563.680712605 182273.786930253,524516.576951097 182313.396911522,524256.435722766 182379.770393647,524072.30283687 182395.828494162,523980.236393922 182391.546334024,523890.404 182377.204)))","3",WEST KILBURN,"3","529","28","22","31","20","1071863","3",5.0,6.4,34.311660,0.0242670000,176.351145,9.060409,Developer Funded,WA2104G2L,"70084962",C.WD13437.01,Queens Park Court - Design Check,W10 4QA,SC,Shujahat Chohan,On Hold,01-05-2024,N/A,TBC,N/A,N/A,2024/25,"3",Poor,,Project currently on hold,23-01-2025,,"17.10.23-Internal meeting design check developer schemes  not to be done
14.11.2023 - Consulting team to undertake design check (not optioneering)
23.11.2023- Katherine confirms to proceed after fee confirmation with WCC
10.01.2024 &17.01.2024- Report wi",IG,ES & TO,"27/11/2023 
& 10.01.2024 &
17.01.2024",22.01.2024,,,Optioneering report produced,Yes,"Design check only, no influence on design",No,No comments from WCC,N/A,51.529122000000001,-0.214128000000000
"MULTIPOLYGON (((525115.547831951 181812.283521948,525314.019838428 182463.271703195,525200.9971 182512.595799999,525443.6989 183017.0011,525474.9971 183102.3969,525474.0982 183147.7039,525428.7011 183223.1021,525533.999 183476.4,525722.802 183289.903000001,525792.3 183348.396,525999.804 183678.402000001,526282.563230039 183341.841118536,526539.25369175 182997.822973975,526592.179560144 182759.656566201,526764.188632425 182526.782745268,527166.42523222 182248.921936199,526872.686662633 181907.550085057,527055.280908592 181703.78549174,526381.027397698 181701.506739073,526212.987765547 181861.607490965,526130.952669537 181811.327915991,525675.790201348 182012.446215888,525265.614721294 181831.175116639,525115.547831951 181812.283521948)))","4",MAIDA VALE,"2","1061","154","41","59","30","2276129","3",4.8,2.9,31.985800,0.0187750000,302.059627,7.872364,Developer Funded,WA2104C5E,"70084799",C.WH10538,Adpar Street Car Park,W2 1DE,RW,Mikel Davies,"2",tbc,Same as main scheme,tbc,N/A,tbc,,"4",Average,,Scheme just reopened. No scope for SUDS at this stage,24-01-2025,,,,,,,,,Scheme on hold,,,,,,51.522404000000002,-0.174361000000000
"MULTIPOLYGON (((525115.547831951 181812.283521948,525314.019838428 182463.271703195,525200.9971 182512.595799999,525443.6989 183017.0011,525474.9971 183102.3969,525474.0982 183147.7039,525428.7011 183223.1021,525533.999 183476.4,525722.802 183289.903000001,525792.3 183348.396,525999.804 183678.402000001,526282.563230039 183341.841118536,526539.25369175 182997.822973975,526592.179560144 182759.656566201,526764.188632425 182526.782745268,527166.42523222 182248.921936199,526872.686662633 181907.550085057,527055.280908592 181703.78549174,526381.027397698 181701.506739073,526212.987765547 181861.607490965,526130.952669537 181811.327915991,525675.790201348 182012.446215888,525265.614721294 181831.175116639,525115.547831951 181812.283521948)))","4",MAIDA VALE,"2","1061","154","41","59","30","2276129","3",4.8,2.9,31.985800,0.0187750000,302.059627,7.872364,Sustainable Transport Programme,WA2006XXV,"70075304",C.WD13308,Andover Place - Naima Jewish Preparatory School,NW6 5EL,RW,Rob Webster,Closed,Construction Finished,N/A,tbc,N/A,n/a,,"4",Poor,,N/A,,,,,,,,,,No optioneering needed- design too far progressed,No,Design too far progressed,N/A,N/A,N/A,51.533112000000003,-0.190485000000000
"MULTIPOLYGON (((525115.547831951 181812.283521948,525314.019838428 182463.271703195,525200.9971 182512.595799999,525443.6989 183017.0011,525474.9971 183102.3969,525474.0982 183147.7039,525428.7011 183223.1021,525533.999 183476.4,525722.802 183289.903000001,525792.3 183348.396,525999.804 183678.402000001,526282.563230039 183341.841118536,526539.25369175 182997.822973975,526592.179560144 182759.656566201,526764.188632425 182526.782745268,527166.42523222 182248.921936199,526872.686662633 181907.550085057,527055.280908592 181703.78549174,526381.027397698 181701.506739073,526212.987765547 181861.607490965,526130.952669537 181811.327915991,525675.790201348 182012.446215888,525265.614721294 181831.175116639,525115.547831951 181812.283521948)))","4",MAIDA VALE,"2","1061","154","41","59","30","2276129","3",4.8,2.9,31.985800,0.0187750000,302.059627,7.872364,Sustainable Transport Programme,WA20085G1,"70074339",C.WD13355,Elgin Avenue CIL scheme,W9 1HT,JA,Julio Alvarez,"3",31-01-2025,N/A,"£2,01,318.82",N/A,,2023/24,"4",Average,"5","Stage 3 finalised, SUDS not taken forward",23-01-2025,,"No action for the SuDS Team now. Ashley Coutts (Service Delivery Manager/lead WCC officer) stated that she will present SuDS options to the Cabinet Member and will provide commenst back to WSP (email dated 11/01/2024 sent to Nicole Boakye). 
29/04/2024 -",IG,AL and ES,12-09-2023,"03/10/2023
",10-10-2023,17-10-2023,Optioneering report produced,Yes,Potential for SuDS,No,Scheme too far progressed,N/A,51.528419000000000,-0.188797000000000
